id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
HOBBIES_2_001_CA_3_validation,0.07111853839290512,-0.08548478761428151,-0.06070419568229485,-0.07478165547449937,0.2645661088145044,-0.07029010765771854,-0.0725699802603342,-0.07219651492421218,0.08352562542559978,0.08316674866849239,0.2661707763068342,-0.07198456637678352,0.15510729847746318,-0.08147307934411605,-0.07872780416782114,-0.08029233185839534,-0.042773005246402596,-0.079792111839731,-0.08004535306062636,-0.08000351099660485,0.15649662108726822,0.1564567778301042,-0.042595803555072975,-0.07998014344426219,0.13283432185947974,-0.09430403082577837,-0.09015236721643548,-0.09251141612920537
HOBBIES_2_002_CA_3_validation,0.42113459634960493,0.1063994554137947,0.31796600998095575,0.10639945541379467,0.7149479526428681,0.2862844036175598,0.10639945541379464,0.29453458565071583,0.400212811707058,0.400212811707058,0.1063994554137947,0.10639945541379474,0.5981545030591673,0.13766103651669723,0.1998221159934767,0.13766103651669723,0.8110808020943685,0.40208019146224633,0.1376610365166973,0.3728225987720426,0.3505873355518986,0.3505873355518986,0.13766103651669748,0.1376610365166975,0.7269123847139967,0.16031627877731763,0.20536436224093219,0.16031627877731763
HOBBIES_2_003_CA_3_validation,0.37445696964713404,0.2456772143818713,0.906935068048512,0.5256696786297486,1.1831835466435674,0.6812714975032985,1.6690999230345844,0.22982456476772928,0.2783461544318595,1.1904672772409857,1.5264513696254802,0.12385403825663621,0.17142963516609067,0.3808675174439178,0.1618430885540849,0.13179073668114216,0.817296854214959,0.35128325419584233,0.6862608840447206,0.5096593024352549,0.8618265664588669,0.3746192718348256,1.2871507034331935,1.3457519009345162,0.4227935021904088,0.7191141213545905,0.609976376589765,0.5719965010039523
HOBBIES_2_004_CA_3_validation,0.11382544010514395,0.15012027567963682,0.15012027068401296,-0.188005865184789,-0.18800586350765738,0.08652674498157162,-0.05196135742530203,0.3987542967838002,0.26730470530076283,0.2512775820425818,0.08852203972462264,-0.1614722855709243,0.1132578382599945,0.14955267383448734,0.14955266883886348,-0.18857346702993844,-0.18857346535280683,0.08595914313642217,-0.05252895927045148,0.3981866949386508,0.26673710345561336,0.25070998019743235,0.08795443787947316,-0.16203988741607378,0.11269023641484499,0.14898507198933786,0.148985066993714,-0.18914106887508791
HOBBIES_2_005_CA_3_validation,0.08327318481605128,-0.04405386322378488,-0.07134438526133544,0.14528815685498608,-0.08380519296685718,-0.10815818490685712,-0.07519555779710864,-0.0935195795124023,0.07831933029258745,-0.10361228783149302,-0.08584032866992801,0.05931679033570482,0.10255617745980236,-0.10838333025565193,-0.11038646042405385,0.0987637252824576,-0.11300110369966747,-0.12338723303139651,-0.11221974703960638,-0.11927096238891963,0.060599709005646527,-0.12140776731030149,-0.11536994721906411,0.09169079998588636,0.07941382615570722,-0.12921939172981253,-0.13330142816432528,0.12510125887123918
HOBBIES_2_006_CA_3_validation,0.2896368137495733,0.2896368137495733,0.28963681374957323,0.6767051432508794,0.6505548664815674,0.309820010322266,0.40857533760371273,0.5779498159694322,0.28963681374957295,0.5316163426274272,0.5049030325008583,0.720169251252144,0.35198583545661366,0.35198583545661366,0.3519858354566137,0.7034383767939028,0.8333118318913343,0.47526911971927094,0.6457190873977199,0.5329884091154534,0.35198583545661355,0.5395785799502275,0.6403049092699441,0.9286239830832749,0.4354936533391345,0.4354936533391345,0.4354936533391345,0.6048121249996067
HOBBIES_2_007_CA_3_validation,-0.12889684410278754,-0.001850637547850642,0.38665482341266977,0.42408819065869496,0.10577257419166058,0.1613284428682412,0.1699308207297012,-0.10073097949214893,0.4588345801833955,-0.061842557584146085,0.844610175088757,0.11054769686953403,-0.20461565992998823,-0.04442525423806561,0.3964600481649835,0.16823785977318612,-0.04598633328315428,0.05721855146916002,0.03581918971052636,0.0907430812285431,0.1789733324119152,-0.1730441789426682,0.5294518883101151,-0.050387511185337214,-0.2929620628229334,-0.13277165713101083,0.30811364527203833,0.07989145688024096
HOBBIES_2_008_CA_3_validation,0.07485276793472402,0.4141318708680631,0.050963360570164484,0.04835640380442441,0.7193581625324552,-0.10011731578042982,0.07994080373909652,0.3205419652293586,0.02736647035731765,-0.09164857577113844,-0.09452129727599394,0.022688829539360272,0.3308715680744469,0.3050846532829706,0.0881916836701388,0.08358517699257961,0.005284731090299477,-0.10424113779290822,0.33116057508284713,-0.04802138279010115,0.08144972279846552,-0.10344787525015092,-0.10367898414618586,0.08099432143504443,-0.033814020743398676,0.5281029883618226,0.04281493682609172,0.3398900823308658
HOBBIES_2_009_CA_3_validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOBBIES_2_010_CA_3_validation,0.3149795145455512,0.25586911641741483,0.2729603164559348,0.7644715733504959,0.29439189168272184,0.6265096261759877,0.656052171819565,0.3708632958299205,0.5468849891680397,0.6545007154104685,0.34553207822210885,0.326892998231997,0.4641179181460423,0.339902803798824,0.340297228900629,0.5658312374331229,0.34159551733280696,0.5507687929429441,0.6109773165278132,0.33710583786522347,0.5201797420274414,0.5999963854944073,0.34575101357068716,0.28574063442312386,0.43253212779161154,0.32962585307773296,0.32967882933419895,0.4960825005603254
