id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
HOBBIES_2_001_CA_3_validation,0.17572379112243652,0.16198298335075378,0.14641021192073822,0.0832863301038742,0.030880600214004517,0.01688586175441742,-0.01322735846042633,-0.010874174535274506,-0.00963689386844635,0.004715040326118469,0.012368723750114441,-0.007247902452945709,-0.026695892214775085,-0.040265604853630066,0.0020185932517051697,0.018084920942783356,0.03232017159461975,0.04415716975927353,0.0523918941617012,0.05106426775455475,0.044144995510578156,0.04290771484375,0.04600772261619568,0.053047291934490204,0.06215197592973709,0.07375074923038483,0.08250942826271057,0.08260225504636765
HOBBIES_2_002_CA_3_validation,0.10154227912425995,0.06915117055177689,-5.270540714263916e-05,-0.07318203151226044,-0.13123919069766998,-0.14124996960163116,-0.08967752754688263,-0.0401538610458374,0.05221257358789444,0.042875006794929504,0.016679048538208008,-0.04466579854488373,-0.1351512223482132,-0.10267893970012665,-0.05321700870990753,-0.037472501397132874,-0.02758064866065979,-0.01889413595199585,-0.014465466141700745,-0.023075684905052185,-0.03367675840854645,-0.03255327045917511,-0.029031306505203247,-0.03134319186210632,-0.038993075489997864,-0.03992511332035065,-0.041653528809547424,-0.053849801421165466
HOBBIES_2_003_CA_3_validation,1.232610821723938,1.2823799848556519,1.174112319946289,0.8880594819784164,0.7870105654001236,0.584886446595192,0.49619919061660767,0.45129725337028503,0.5678096413612366,0.6795019507408142,0.7969817444682121,0.7400235086679459,0.6847989782691002,0.6357291489839554,0.6305662617087364,0.630480520427227,0.6427255123853683,0.6653397232294083,0.6915397867560387,0.6968425512313843,0.6925597637891769,0.7010279148817062,0.7127012461423874,0.723676860332489,0.7175848484039307,0.723469078540802,0.7218753546476364,0.7014491111040115
HOBBIES_2_004_CA_3_validation,0.07525099441409111,0.0833510309457779,0.11168510466814041,0.12917156517505646,0.08501307293772697,0.0012328103184700012,-0.06997259706258774,-0.16938380151987076,-0.11579903215169907,-0.10986634343862534,-0.09848993271589279,-0.16472654789686203,-0.20944961160421371,-0.12142514437437057,-0.05163431167602539,-0.049998924136161804,-0.042853452265262604,-0.030949652194976807,-0.019779592752456665,0.02429509162902832,0.06125309318304062,0.059477828443050385,0.05099594593048096,0.04962967336177826,0.0868411660194397,0.10660203918814659,0.1321495771408081,0.19358957558870316
HOBBIES_2_005_CA_3_validation,0.16358482837677002,0.14613085985183716,0.12331032752990723,0.10866545885801315,0.08928412199020386,0.011807873845100403,-0.038610994815826416,-0.1192081868648529,-0.15146644413471222,-0.11080898344516754,-0.08214281499385834,-0.060950085520744324,0.008591711521148682,-0.044703409075737,0.014637693762779236,0.018185362219810486,0.014801256358623505,0.00937168300151825,0.003345310688018799,0.004146292805671692,0.005780845880508423,0.0014041438698768616,-0.003957286477088928,-0.006163343787193298,-0.007969014346599579,-0.013847492635250092,-0.02283746749162674,-0.021555781364440918
HOBBIES_2_006_CA_3_validation,0.5933251082897186,0.5462360680103302,0.47989708185195923,0.41081906855106354,0.2575487047433853,0.1224803477525711,0.030917242169380188,0.027490664273500443,0.05553608760237694,0.020903293043375015,0.025875940918922424,0.03912673518061638,0.05184078589081764,0.07274379953742027,0.05783747881650925,0.06340237520635128,0.07574987970292568,0.09433391690254211,0.1150326356291771,0.13437416777014732,0.14860430359840393,0.1594909206032753,0.1627207025885582,0.1620582863688469,0.1508682332932949,0.14053522422909737,0.12895097583532333,0.11696648597717285
HOBBIES_2_007_CA_3_validation,0.8073192313313484,0.8506396561861038,0.8021021336317062,0.4988083988428116,0.19977238588035107,-0.10603607073426247,-0.33467185869812965,-0.3188285194337368,-0.28236180916428566,-0.10412194579839706,0.00040692463517189026,-0.011216763406991959,0.07101892679929733,0.06171625480055809,0.010323286056518555,0.04293941706418991,0.09801029786467552,0.1730998456478119,0.2573717348277569,0.31721312552690506,0.3631862886250019,0.4131159782409668,0.4551875665783882,0.4829411208629608,0.48949969187378883,0.49681561812758446,0.49986233934760094,0.4887104518711567
HOBBIES_2_008_CA_3_validation,0.05728762038052082,0.08864178322255611,0.10155700519680977,0.05360330455005169,0.05129172094166279,0.05624735914170742,0.06412088312208652,0.03402360901236534,0.007704656571149826,0.02667110413312912,-0.015210159122943878,0.0460835974663496,0.10032527893781662,0.038931598886847496,0.08863083645701408,0.11080420017242432,0.13284986838698387,0.1498735025525093,0.16021356359124184,0.15507051721215248,0.14724307134747505,0.14580974355340004,0.14292413368821144,0.1380610316991806,0.13201016932725906,0.1323927752673626,0.1337963305413723,0.1293654777109623
HOBBIES_2_009_CA_3_validation,0.018968816846609116,-0.09554866701364517,-0.1425362080335617,-0.13625474274158478,-0.1436137855052948,-0.12434050440788269,-0.1757103055715561,-0.1453174240887165,-0.21372216939926147,-0.3070042356848717,-0.3366897851228714,-0.3838835209608078,-0.35630156099796295,-0.31682970374822617,-0.3335159942507744,-0.3288106620311737,-0.3195125162601471,-0.315297894179821,-0.31720487773418427,-0.28481076657772064,-0.253959059715271,-0.2515915408730507,-0.24428929388523102,-0.23787224292755127,-0.1897493228316307,-0.18964049220085144,-0.19426200538873672,-0.1719220206141472
HOBBIES_2_010_CA_3_validation,0.17975299805402756,0.15678157657384872,0.12170480936765671,0.035249403677880764,-0.016963457688689232,-0.018964821472764015,-0.031611738726496696,-0.03580690361559391,0.0010178592056035995,0.10625847056508064,0.1508948877453804,0.17669013887643814,0.183656707406044,0.1414770372211933,0.16475006192922592,0.16454297304153442,0.16171413660049438,0.154741320759058,0.1413291022181511,0.1118014007806778,0.084524966776371,0.07095827534794807,0.06462423875927925,0.06777416914701462,0.0657220222055912,0.07918195612728596,0.08930403180420399,0.08580044098198414
HOBBIES_2_011_CA_3_validation,0.28831493854522705,0.22082683444023132,0.16601651906967163,0.03091290593147278,0.02485179901123047,0.026418745517730713,0.06127101182937622,0.06832793354988098,0.043027907609939575,0.07101830840110779,0.03744161128997803,-0.049400120973587036,-0.08898007869720459,-0.1552352011203766,-0.006263107061386108,0.05125987529754639,0.10260063409805298,0.1355273723602295,0.14588700234889984,0.12352687120437622,0.0991758406162262,0.09568627178668976,0.09715083241462708,0.08837467432022095,0.07893252372741699,0.07552224397659302,0.06715121865272522,0.047889649868011475
HOBBIES_2_012_CA_3_validation,0.1370435655117035,0.0979820191860199,0.044369105249643326,0.031356461346149445,0.09291155636310577,0.1344555765390396,0.17691196501255035,0.24072426557540894,0.23587822914123535,0.23964744806289673,0.22295241057872772,0.242050439119339,0.23087677359580994,0.23154611885547638,0.21919579803943634,0.23980499804019928,0.25234904885292053,0.2580406665802002,0.256919264793396,0.22559231519699097,0.20449315011501312,0.21965469419956207,0.24106167256832123,0.25963276624679565,0.2428559809923172,0.25158068537712097,0.25486069917678833,0.2295258343219757
HOBBIES_2_013_CA_3_validation,0.36521127820014954,0.32879340648651123,0.27556344866752625,0.21388109028339386,0.17791711539030075,0.16984912008047104,0.15961547568440437,0.2104012370109558,0.2747449278831482,0.3114151954650879,0.3108050376176834,0.3008362278342247,0.2863066792488098,0.2594166398048401,0.27069398760795593,0.2898513749241829,0.30947691947221756,0.32458721101284027,0.32894258201122284,0.3106170818209648,0.2904657572507858,0.2894591689109802,0.29565587639808655,0.30759356170892715,0.31051158159971237,0.32806652784347534,0.33812879025936127,0.3250906616449356
